figure,series,sf,version,name,rep,seconds,rows
fig1_11,duckdb_cold,10,v0.8.0,Q3.1,1,0.357,150
fig1_11,duckdb_cold,10,v0.8.0,Q3.1,2,0.388,150
fig1_11,duckdb_cold,10,v0.8.0,Q3.1,3,0.354,150
fig1_11,duckdb_cold,10,v0.8.0,Q3.2,1,0.268,600
fig1_11,duckdb_cold,10,v0.8.0,Q3.2,2,0.292,600
fig1_11,duckdb_cold,10,v0.8.0,Q3.2,3,0.300,600
fig1_11,duckdb_cold,10,v0.8.0,Q3.3,1,0.233,24
fig1_11,duckdb_cold,10,v0.8.0,Q3.3,2,0.244,24
fig1_11,duckdb_cold,10,v0.8.0,Q3.3,3,0.247,24
fig1_11,duckdb_cold,10,v0.8.0,Q3.4,1,0.207,
fig1_11,duckdb_cold,10,v0.8.0,Q3.4,2,0.273,
fig1_11,duckdb_cold,10,v0.8.0,Q3.4,3,0.220,
fig1_11,duckdb_cold,10,v0.8.0,Q4.1,1,0.613,1992
fig1_11,duckdb_cold,10,v0.8.0,Q4.1,2,0.603,1992
fig1_11,duckdb_cold,10,v0.8.0,Q4.1,3,0.595,1992
fig1_11,duckdb_cold,10,v0.8.0,Q4.2,1,0.599,1997
fig1_11,duckdb_cold,10,v0.8.0,Q4.2,2,0.585,1997
fig1_11,duckdb_cold,10,v0.8.0,Q4.2,3,0.588,1997
fig1_11,duckdb_cold,10,v0.8.0,Q4.3,1,0.395,1997
fig1_11,duckdb_cold,10,v0.8.0,Q4.3,2,0.409,1997
fig1_11,duckdb_cold,10,v0.8.0,Q4.3,3,0.342,1997
fig1_11,duckdb_warm,10,v0.8.0,Q1.1,1,0.059,
fig1_11,duckdb_warm,10,v0.8.0,Q1.1,2,0.037,
fig1_11,duckdb_warm,10,v0.8.0,Q1.1,3,0.034,
fig1_11,duckdb_warm,10,v0.8.0,Q1.2,1,0.071,
fig1_11,duckdb_warm,10,v0.8.0,Q1.2,2,0.043,
fig1_11,duckdb_warm,10,v0.8.0,Q1.2,3,0.047,
fig1_11,duckdb_warm,10,v0.8.0,Q1.3,1,0.071,
fig1_11,duckdb_warm,10,v0.8.0,Q1.3,2,0.049,
fig1_11,duckdb_warm,10,v0.8.0,Q1.3,3,0.037,
fig1_11,duckdb_warm,10,v0.8.0,Q2.1,1,0.094,
fig1_11,duckdb_warm,10,v0.8.0,Q2.1,2,0.076,
fig1_11,duckdb_warm,10,v0.8.0,Q2.1,3,0.063,
fig1_11,duckdb_warm,10,v0.8.0,Q2.2,1,0.108,
fig1_11,duckdb_warm,10,v0.8.0,Q2.2,2,0.076,
fig1_11,duckdb_warm,10,v0.8.0,Q2.2,3,0.055,
fig1_11,duckdb_warm,10,v0.8.0,Q2.3,1,0.078,
fig1_11,duckdb_warm,10,v0.8.0,Q2.3,2,0.062,
fig1_11,duckdb_warm,10,v0.8.0,Q2.3,3,0.047,
fig1_11,duckdb_warm,10,v0.8.0,Q3.1,1,0.127,
fig1_11,duckdb_warm,10,v0.8.0,Q3.1,2,0.093,
fig1_11,duckdb_warm,10,v0.8.0,Q3.1,3,0.114,
fig1_11,duckdb_warm,10,v0.8.0,Q3.2,1,0.082,
fig1_11,duckdb_warm,10,v0.8.0,Q3.2,2,0.060,
