figure,series,sf,version,name,rep,seconds,rows
fig1_11,duckdb_warm,1,v1.1.3,Q1.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q1.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q1.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q1.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q1.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q1.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q1.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q2.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q2.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q2.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q2.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q2.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q2.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q2.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q2.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q2.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q3.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q3.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q3.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q3.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q3.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q3.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q3.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q3.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q3.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q3.4,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q3.4,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q3.4,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q4.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q4.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q4.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q4.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q4.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q4.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q4.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q4.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_warm,1,v1.1.3,Q4.3,3,,ERROR_BIGINT_TO_DATE
fig7_10,duckdb_latencies,10,v0.8.0,customer,1,0.014,
fig7_10,duckdb_latencies,10,v0.8.0,customer,2,0.013,
fig7_10,duckdb_latencies,10,v0.8.0,customer,3,0.014,
fig7_10,duckdb_latencies,10,v0.8.0,part,1,5.050,
fig7_10,duckdb_latencies,10,v0.8.0,part,2,5.097,
fig7_10,duckdb_latencies,10,v0.8.0,part,3,5.077,
fig7_10,duckdb_latencies,10,v0.8.0,supplier,1,3.395,
fig7_10,duckdb_latencies,10,v0.8.0,supplier,2,3.311,
fig7_10,duckdb_latencies,10,v0.8.0,supplier,3,3.326,
fig7_10,duckdb_latencies,10,v0.8.0,date,1,,ERROR_BIGINT_TO_DATE
fig7_10,duckdb_latencies,10,v0.8.0,date,2,,ERROR_BIGINT_TO_DATE
fig7_10,duckdb_latencies,10,v0.8.0,date,3,,ERROR_BIGINT_TO_DATE
fig8,duckdb_ms,10,v0.8.0,selfjoin_orderkey,1,0.959,257776538
fig8,duckdb_ms,10,v0.8.0,selfjoin_orderkey,2,0.980,257776538
fig8,duckdb_ms,10,v0.8.0,selfjoin_orderkey,3,0.988,257776538
